country_name,code,cost,gdp,voice,politicalstability,govteffectiveness,regulatory,ruleoflaw,corruption,popn2004,migrants,migprop,flowuscanz,region,restrict,commonwealth,language
Lesotho,LSO,11.41,740,0.28,0.27,-0.33,-0.26,-0.03,-0.05,1808848,1262,0.000697195,16,Africa,no,yes,English
Lithuania,LTU,20.91,5740,0.97,0.85,0.7,1.16,0.6,0.36,3439000,286712,0.076954955,2722,Europe,no,no,Other
Luxembourg,LUX,4.83,56230,1.4,1.66,2.08,2.02,1.98,2.16,450000,37148,0.076256086,27,Europe,no,no,French
Malaysia,MYS,79.57,4650,-0.36,0.38,0.99,0.44,0.52,0.29,25200000,577417,0.022400111,6463,Asia,no,yes,Other
Malta,MLT,33.51,12250,1.26,1.46,1.03,1.3,1.23,1.25,401000,98306,0.196885277,108,Europe,no,yes,English
Mauritania,MRT,36.65,420,-1.16,0.26,0.22,0.04,-0.62,0.02,2906094,16674,0.005704866,220,Africa,no,no,Arabic
Mauritius,MUS,22.88,4640,0.94,0.91,0.6,0.33,0.84,0.33,1234232,90752,0.068492903,1003,Asia,no,yes,English
Mexico,MEX,82.11,6770,0.36,-0.13,-0.02,0.55,-0.26,-0.27,104000000,9458747,0.083367279,177672,NoAm,no,no,Spanish
Micronesia,FSM,50,1990,1.01,0.83,-0.33,0.04,0.4,-0.3,126767,17439,0.120931587,5,Oceania,no,no,English
Morocco,MAR,32.62,1520,-0.55,-0.23,-0.03,-0.26,-0.05,-0.02,30600000,1615359,0.050142511,7645,Africa,no,no,Arabic
Namibia,NAM,24.44,2370,0.47,0.46,0.29,0.45,0.22,0.18,2033433,4063,0.001994114,85,Africa,no,yes,English
Nepal,NPL,68.4,260,-1,-1.74,-0.9,-0.6,-0.82,-0.61,25200000,506454,0.019701434,3701,Asia,no,no,Other
Netherlands,NLD,56.94,31700,1.49,1.15,2,1.67,1.78,2.08,16300000,656099,0.038693983,2777,Europe,no,no,Other
New Zealand,NZL,49.44,20310,1.47,1.51,2.05,1.78,1.93,2.38,4061000,468730,0.103478574,15943,Oceania,no,yes,English
Nicaragua,NIC,23.75,790,0.06,-0.15,-0.71,-0.15,-0.65,-0.34,5604000,485937,0.079793436,4062,NoAm,no,no,Spanish
Niger,NER,45.58,230,-0.12,-0.56,-0.87,-0.63,-0.92,-0.87,12100000,5473,0.00045211,98,Africa,no,no,Other
Nigeria,NGA,38.79,390,-0.65,-1.78,-1.02,-1.26,-1.44,-1.11,140000000,294387,0.002098352,10874,Africa,no,yes,English
Norway,NOR,152.34,52030,1.53,1.53,1.97,1.33,1.95,2.11,4582000,146148,0.0309102,579,Europe,no,no,Other
Oman,OMN,12.95,7890,-0.9,0.76,0.91,0.43,0.98,0.78,2659014,4939,0.001854012,543,Asia,no,no,Arabic
Pakistan,PAK,25.11,600,-1.31,-1.59,-0.57,-1.03,-0.78,-0.87,152000000,2541893,0.016447922,26078,Asia,no,yes,English
Papua New Guinea,PNG,31,580,-0.03,-0.94,-1.01,-0.64,-0.82,-0.9,5625215,29376,0.005195071,239,Oceania,no,yes,English
Peru,PER,62.41,2360,-0.04,-0.68,-0.58,0.17,-0.63,-0.35,27500000,575192,0.020487554,13407,SoAm,no,no,Spanish
Philippines,PHL,8.95,1170,0.02,-1.01,-0.23,-0.06,-0.62,-0.55,83000000,2162294,0.025390274,75695,Asia,no,no,English
Poland,POL,31.72,6090,1.13,0.35,0.47,0.64,0.51,0.16,38200000,1426139,0.035989855,15942,Europe,no,no,Other
