Location,Population,PopulationType,Market,PotentialRevenue,PresentRevenue,Vehicles,Distribution
Vidavalur,12225.2,UFTP,Rural Villages,114102,0,0,Indirect
Pro. Ragampeta,12216.1,UFTP,Rural Villages,114017,0,0,Indirect
Peravali,12208.3,UFTP,Rural Villages,113944,0,0,Indirect
Nallamadu,12205.7,UFTP,Rural Villages,113920,0,0,Indirect
Pedapudi,12201.8,UFTP,Rural Villages,113883,0,0,Indirect
Konduru,12196.6,UFTP,Rural Villages,113835,0,0,Indirect
Mallepalle,12182.3,UFTP,Rural Villages,113701,0,0,Indirect
Pedda Kadubur,12179.7,UFTP,Rural Villages,113677,0,0,Indirect
Sanivarapupeta (CT),12171.9,UFTP,Rural Villages,113604,0,0,Indirect
Ponnada,12168,UFTP,Rural Villages,113568,0,0,Indirect
Chinagollapalem,12166.7,UFTP,Rural Villages,113556,0,0,Indirect
Dulla,12158.9,UFTP,Rural Villages,113483,0,0,Indirect
Pasalapudi,12155,UFTP,Rural Villages,113447,0,0,Indirect
Kothalanka,12142,UFTP,Rural Villages,113325,0,0,Indirect
Vellatur,12139.4,UFTP,Rural Villages,113301,0,0,Indirect
Mangasamudram (CT),12129,UFTP,Rural Villages,113204,0,0,Indirect
Gangalakurru,12091.3,UFTP,Rural Villages,112852,0,0,Indirect
Konada,12066.6,UFTP,Rural Villages,112622,0,0,Indirect
Kaligiri,12061.4,UFTP,Rural Villages,112573,0,0,Indirect
Kavuluru,12060.1,UFTP,Rural Villages,112561,0,0,Indirect
Mulukuduru,12053.6,UFTP,Rural Villages,112500,0,0,Indirect
Anigandlapadu,12052.3,UFTP,Rural Villages,112488,0,0,Indirect
Kamepalle,12032.8,UFTP,Rural Villages,112306,0,0,Indirect
Ravipadu,12030.2,UFTP,Rural Villages,112282,0,0,Indirect
Lakshmipolavaram,12022.4,UFTP,Rural Villages,112209,0,0,Indirect
Puritipenta,12018.5,UFTP,Rural Villages,112173,0,0,Indirect
Nallacheruvu,11993.8,UFTP,Rural Villages,111942,0,0,Indirect
Utukuru,11983.4,UFTP,Rural Villages,111845,0,0,Indirect
Kesavadasupalem,11976.9,UFTP,Rural Villages,111784,0,0,Indirect
Rajavommangi,11963.9,UFTP,Rural Villages,111663,0,0,Indirect
Kanumolu,11962.6,UFTP,Rural Villages,111651,0,0,Indirect
Jagapathinagaram,11957.4,UFTP,Rural Villages,111602,0,0,Indirect
Emani,11957.4,UFTP,Rural Villages,111602,0,0,Indirect
Apparaopeta,11957.4,UFTP,Rural Villages,111602,0,0,Indirect
Chitrada,11948.3,UFTP,Rural Villages,111517,0,0,Indirect
Throvagunta,11948.3,UFTP,Rural Villages,111517,0,0,Indirect
Rangampeta,11934,UFTP,Rural Villages,111384,0,0,Indirect
Kalavapudi,11932.7,UFTP,Rural Villages,111372,0,0,Indirect
Yazali,11922.3,UFTP,Rural Villages,111275,0,0,Indirect
Pedaganjam,11918.4,UFTP,Rural Villages,111238,0,0,Indirect
Peddapadu,11918.4,UFTP,Rural Villages,111238,0,0,Indirect
Takkellapadu,11909.3,UFTP,Rural Villages,111153,0,0,Indirect
Pathur,11908,UFTP,Rural Villages,111141,0,0,Indirect
Sivakodu,11901.5,UFTP,Rural Villages,111081,0,1,Indirect
Peddamandyam,11900.2,UFTP,Rural Villages,111069,0,0,Indirect
Rayavaram,11893.7,UFTP,Rural Villages,111008,0,0,Indirect
Gutala,11892.4,UFTP,Rural Villages,110996,0,0,Indirect
Chiluvuru,11888.5,UFTP,Rural Villages,110959,0,0,Indirect
Adavi Budugur,11883.3,UFTP,Rural Villages,110911,0,0,Indirect
Santhabommali,11882,UFTP,Rural Villages,110899,0,0,Indirect
Vajrakarur,11848.2,UFTP,Rural Villages,110583,0,0,Indirect
Penumaka,11837.8,UFTP,Rural Villages,110486,0,0,Indirect
Cheyyeru,11832.6,UFTP,Rural Villages,110438,0,0,Indirect
Kavitam,11823.5,UFTP,Rural Villages,110353,0,0,Indirect
Dharmavaram,11819.6,UFTP,Rural Villages,110316,0,0,Indirect
Palivela,11806.6,UFTP,Rural Villages,110195,0,0,Indirect
Nagasamudram,11797.5,UFTP,Rural Villages,110110,0,0,Indirect
Chintapalle (CT),11792.3,UFTP,Rural Villages,110061,50435.2,0,Indirect
Dhulipudi,11781.9,UFTP,Rural Villages,109964,0,0,Indirect
Sankavaram,11767.6,UFTP,Rural Villages,109831,0,0,Indirect
Nekunampuram   @   Pokur,11766.3,UFTP,Rural Villages,109819,0,0,Indirect
Jampani,11754.6,UFTP,Rural Villages,109710,0,0,Indirect
Jagannadhapuram,11753.3,UFTP,Rural Villages,109697,0,0,Indirect
Bendapudi,11746.8,UFTP,Rural Villages,109637,0,0,Indirect
Ubalanka,11720.8,UFTP,Rural Villages,109394,0,0,Indirect
Ponnamanda,11693.5,UFTP,Rural Villages,109139,0,0,Indirect
Seethanagaram,11684.4,UFTP,Rural Villages,109054,0,0,Indirect
Pandalapaka,11671.4,UFTP,Rural Villages,108933,0,0,Indirect
Morubagal,11670.1,UFTP,Rural Villages,108921,0,0,Indirect
Mutluru,11670.1,UFTP,Rural Villages,108921,0,0,Indirect
Yerrabalem (CT),11664.9,UFTP,Rural Villages,108872,0,0,Indirect
Thullur,11651.9,UFTP,Rural Villages,108751,0,0,Indirect
Surampalle,11644.1,UFTP,Rural Villages,108678,0,0,Indirect
Agency Laxmipuram,11633.7,UFTP,Rural Villages,108581,0,0,Indirect
Mundla Padu,11632.4,UFTP,Rural Villages,108569,0,0,Indirect
Garladinne,11610.3,UFTP,Rural Villages,108363,0,0,Indirect
Patrapalle,11603.8,UFTP,Rural Villages,108302,0,0,Indirect
Pedapadu  I,11592.1,UFTP,Rural Villages,108193,0,0,Indirect
Chinnakurbalapalle (Rural),11583,UFTP,Rural Villages,108108,0,0,Indirect
Tirumala (CT),11572.6,UFTP,Rural Villages,108011,0,1,Indirect
Meliaputti,11572.6,UFTP,Rural Villages,108011,0,0,Indirect
Pachipenta,11568.7,UFTP,Rural Villages,107975,0,0,Indirect
Katheragandla,11567.4,UFTP,Rural Villages,107962,0,0,Indirect
Bheemanapalle,11560.9,UFTP,Rural Villages,107902,0,0,Indirect
Edupuram,11557,UFTP,Rural Villages,107865,0,0,Indirect
Bommagundanahalli,11551.8,UFTP,Rural Villages,107817,0,0,Indirect
Rayabhupalapatnam,11549.2,UFTP,Rural Villages,107793,0,0,Indirect
Sanampudi,11549.2,UFTP,Rural Villages,107793,0,0,Indirect
Korasavada,11541.4,UFTP,Rural Villages,107720,0,0,Indirect
Pippara,11540.1,UFTP,Rural Villages,107708,0,0,Indirect
Rebala,11527.1,UFTP,Rural Villages,107586,0,0,Indirect
Chinnayagudem,11524.5,UFTP,Rural Villages,107562,0,0,Indirect
Devupalle,11523.2,UFTP,Rural Villages,107550,0,0,Indirect
Anandapuram,11521.9,UFTP,Rural Villages,107538,0,0,Indirect
Muggaulla,11502.4,UFTP,Rural Villages,107356,0,0,Indirect
Kaza,11492,UFTP,Rural Villages,107259,0,0,Indirect
Idupulapaya,11480.3,UFTP,Rural Villages,107149,0,0,Indirect
Venkatadri Palem,11472.5,UFTP,Rural Villages,107077,0,0,Indirect
Onipenta,11460.8,UFTP,Rural Villages,106967,0,0,Indirect
Kandanathi,11450.4,UFTP,Rural Villages,106870,0,0,Indirect
Pedda Harivanam,11450.4,UFTP,Rural Villages,106870,0,0,Indirect
Tallapaka,11449.1,UFTP,Rural Villages,106858,0,0,Indirect
Pulluru,11438.7,UFTP,Rural Villages,106761,0,0,Indirect
Ramasamudram,11429.6,UFTP,Rural Villages,106676,0,0,Indirect
Gollapalle,11424.4,UFTP,Rural Villages,106628,0,0,Indirect
Podaralla,11414,UFTP,Rural Villages,106531,0,0,Indirect
Utukuru,11411.4,UFTP,Rural Villages,106506,0,0,Indirect
Peddavadugur,11407.5,UFTP,Rural Villages,106470,0,0,Indirect
Allurupeta,11407.5,UFTP,Rural Villages,106470,0,0,Indirect
Thimmapuram,11398.4,UFTP,Rural Villages,106385,0,0,Indirect
Vinjam,11391.9,UFTP,Rural Villages,106324,0,0,Indirect
Satuluru,11390.6,UFTP,Rural Villages,106312,0,0,Indirect
Agali,11385.4,UFTP,Rural Villages,106264,0,0,Indirect
Vommangi,11378.9,UFTP,Rural Villages,106203,0,0,Indirect
Bestawaripeta,11371.1,UFTP,Rural Villages,106130,0,0,Indirect
Nakkapalle (CT),11365.9,UFTP,Rural Villages,106082,432183.6,1,Indirect
Rellivalasa,11360.7,UFTP,Rural Villages,106033,0,0,Indirect
Kruthivennu,11339.9,UFTP,Rural Villages,105839,0,0,Indirect
Yadamarri,11338.6,UFTP,Rural Villages,105827,0,0,Indirect
Adivi,11333.4,UFTP,Rural Villages,105778,0,0,Indirect
Alamur,11324.3,UFTP,Rural Villages,105693,0,0,Indirect
Achanta Vemavaram,11311.3,UFTP,Rural Villages,105572,0,0,Indirect
Gargeyapuram,11303.5,UFTP,Rural Villages,105499,0,0,Indirect
Penumuru,11278.8,UFTP,Rural Villages,105269,0,0,Indirect
Chandra Sekhara Puram,11278.8,UFTP,Rural Villages,105269,0,0,Indirect
Peda Avutapalle,11268.4,UFTP,Rural Villages,105172,0,0,Indirect
Dharanikota,11263.2,UFTP,Rural Villages,105123,0,0,Indirect
Kalyandurg (Rural),11252.8,UFTP,Rural Villages,105026,0,0,Indirect
Marteru,11252.8,UFTP,Rural Villages,105026,0,0,Indirect
Bayyavaram,11238.5,UFTP,Rural Villages,104893,0,0,Indirect
Ammana Brolu,11234.6,UFTP,Rural Villages,104856,0,0,Indirect
Inamadugu,11225.5,UFTP,Rural Villages,104771,0,0,Indirect
Thimmapuram,11224.2,UFTP,Rural Villages,104759,0,0,Indirect
Rangasamudram,11221.6,UFTP,Rural Villages,104735,0,0,Indirect
T. Kothapalle,11212.5,UFTP,Rural Villages,104650,0,0,Indirect
Peddauppara Palle,11199.5,UFTP,Rural Villages,104529,0,0,Indirect
Nooliveedu,11195.6,UFTP,Rural Villages,104492,225763.74,1,Indirect
Kadiyedda,11180,UFTP,Rural Villages,104347,0,0,Indirect
Vadapalle,11170.9,UFTP,Rural Villages,104262,0,0,Indirect
Pedabrahmadevam,11165.7,UFTP,Rural Villages,104213,0,0,Indirect
Nathavaram,11165.7,UFTP,Rural Villages,104213,0,0,Indirect
Chintaparthi,11164.4,UFTP,Rural Villages,104201,0,0,Indirect
Gudivada,11156.6,UFTP,Rural Villages,104128,248392.17,0,Indirect
Ponnaluru,11154,UFTP,Rural Villages,104104,0,0,Indirect
Seetharamapuram,11154,UFTP,Rural Villages,104104,0,0,Indirect
Beluguppa,11148.8,UFTP,Rural Villages,104055,0,0,Indirect
Raptadu (Part),11142.3,UFTP,Rural Villages,103995,0,0,Indirect
Upputur,11134.5,UFTP,Rural Villages,103922,0,0,Indirect
Mopidevi,11120.2,UFTP,Rural Villages,103789,0,0,Indirect
Kontheru,11111.1,UFTP,Rural Villages,103704,0,0,Indirect
Koppunur,11104.6,UFTP,Rural Villages,103643,0,0,Indirect
Tapeswaram,11079.9,UFTP,Rural Villages,103412,0,0,Indirect
Thettu,11078.6,UFTP,Rural Villages,103400,0,0,Indirect
Havaligi,11074.7,UFTP,Rural Villages,103364,0,0,Indirect
Velangi,11074.7,UFTP,Rural Villages,103364,0,0,Indirect
Kondaveedu,11073.4,UFTP,Rural Villages,103352,0,0,Indirect
Duvvuru,11059.1,UFTP,Rural Villages,103218,0,0,Indirect
Cherukuwada,11050,UFTP,Rural Villages,103133,0,0,Indirect
Chennekothapalle,11043.5,UFTP,Rural Villages,103073,0,0,Indirect
Pasarlapudi,11007.1,UFTP,Rural Villages,102733,0,0,Indirect
Mori,10999.3,UFTP,Rural Villages,102660,0,0,Indirect
Karumanchi,10999.3,UFTP,Rural Villages,102660,0,0,Indirect
Tallakera,10996.7,UFTP,Rural Villages,102636,0,0,Indirect
Sankavaram,10965.5,UFTP,Rural Villages,102345,0,0,Indirect
Kurupam,10956.4,UFTP,Rural Villages,102260,0,0,Indirect
Pamulapadu,10955.1,UFTP,Rural Villages,102248,0,0,Indirect
Totharamudi,10946,UFTP,Rural Villages,102163,0,0,Indirect
Chinakondepudi,10942.1,UFTP,Rural Villages,102126,0,0,Indirect
Tallapalem,10920,UFTP,Rural Villages,101920,0,0,Indirect
Velupuru,10904.4,UFTP,Rural Villages,101774,0,0,Indirect
Damaramadugu,10904.4,UFTP,Rural Villages,101774,0,0,Indirect
Kovvuru,10903.1,UFTP,Rural Villages,101762,0,0,Indirect
Kottam,10891.4,UFTP,Rural Villages,101653,0,0,Indirect
Nagulapalle,10887.5,UFTP,Rural Villages,101617,0,0,Indirect
Muppalla,10884.9,UFTP,Rural Villages,101592,0,0,Indirect
Kankanala Palle,10882.3,UFTP,Rural Villages,101568,0,0,Indirect
Cherukuru,10875.8,UFTP,Rural Villages,101507,0,0,Indirect
Chataparru,10873.2,UFTP,Rural Villages,101483,0,0,Indirect
Battili,10860.2,UFTP,Rural Villages,101362,0,1,Indirect
Aspari,10857.6,UFTP,Rural Villages,101338,0,0,Indirect
Govindpalle,10839.4,UFTP,Rural Villages,101168,0,0,Indirect
Mulapeta,10830.3,UFTP,Rural Villages,101083,0,0,Indirect
Pandilla Palle,10827.7,UFTP,Rural Villages,101059,0,0,Indirect
Bandi Atmakur,10826.4,UFTP,Rural Villages,101046,0,0,Indirect
Etukur,10823.8,UFTP,Rural Villages,101022,0,0,Indirect
Jujjuru,10817.3,UFTP,Rural Villages,100961,0,0,Indirect
Punadipadu,10816,UFTP,Rural Villages,100949,0,0,Indirect
Perur,10814.7,UFTP,Rural Villages,100937,0,0,Indirect
Vedurupavuluru,10812.1,UFTP,Rural Villages,100913,0,0,Indirect
Baireddipalle,10801.7,UFTP,Rural Villages,100816,0,0,Indirect
Gangapatnam,10797.8,UFTP,Rural Villages,100779,0,0,Indirect
Pendikallu,10786.1,UFTP,Rural Villages,100670,0,0,Indirect
Tetali,10786.1,UFTP,Rural Villages,100670,0,0,Indirect
Gottipalla,10775.7,UFTP,Rural Villages,100573,0,0,Indirect
Mandalapalle,10774.4,UFTP,Rural Villages,100561,0,0,Indirect
Kuchinapudi,10764,UFTP,Rural Villages,100464,0,0,Indirect
Agadallanka,10756.2,UFTP,Rural Villages,100391,0,0,Indirect
Kanagala,10752.3,UFTP,Rural Villages,100355,0,0,Indirect
Gangavaram (Part),10738,UFTP,Rural Villages,100221,0,0,Indirect
Pothunuru,10730.2,UFTP,Rural Villages,100149,0,0,Indirect
Pyalakurthy,10727.6,UFTP,Rural Villages,100124,0,0,Indirect
Chikkala,10726.3,UFTP,Rural Villages,100112,0,0,Indirect
Viravada,10719.8,UFTP,Rural Villages,100051,0,0,Indirect
Kowtaram,10719.8,UFTP,Rural Villages,100051,0,0,Indirect
Pasumarru (R),10712,UFTP,Rural Villages,99979,0,0,Indirect
Voppicherla,10700.3,UFTP,Rural Villages,99869,0,0,Indirect
Valasa,10697.7,UFTP,Rural Villages,99845,0,0,Indirect
Peddannavaripalle,10695.1,UFTP,Rural Villages,99821,0,0,Indirect
Srikakulam,10693.8,UFTP,Rural Villages,99809,0,0,Indirect
Rudravaram (Part),10689.9,UFTP,Rural Villages,99772,0,0,Indirect
Pillutla,10683.4,UFTP,Rural Villages,99712,0,0,Indirect
Udumudi,10682.1,UFTP,Rural Villages,99700,0,0,Indirect
Mulaguntapadu (CT),10682.1,UFTP,Rural Villages,99700,0,0,Indirect
Gowripatnam,10670.4,UFTP,Rural Villages,99590,0,0,Indirect
Katuru,10662.6,UFTP,Rural Villages,99518,0,0,Indirect
Pondalur,10647,UFTP,Rural Villages,99372,0,0,Indirect
Nadakuduru,10640.5,UFTP,Rural Villages,99311,0,0,Indirect
Hosur,10635.3,UFTP,Rural Villages,99263,0,0,Indirect
Mogallu,10617.1,UFTP,Rural Villages,99093,0,0,Indirect
Madhavapatnam,10611.9,UFTP,Rural Villages,99044,0,0,Indirect
Polaki,10597.6,UFTP,Rural Villages,98911,0,0,Indirect
Pedaravuru,10596.3,UFTP,Rural Villages,98899,0,0,Indirect
Vella,10595,UFTP,Rural Villages,98887,0,0,Indirect
Karalapadu,10592.4,UFTP,Rural Villages,98862,0,0,Indirect
Tallamudi,10591.1,UFTP,Rural Villages,98850,0,0,Indirect
Davuluru,10588.5,UFTP,Rural Villages,98826,0,0,Indirect
Rallahalli,10585.9,UFTP,Rural Villages,98802,0,0,Indirect
Cherukuru,10584.6,UFTP,Rural Villages,98790,0,0,Indirect
Munnelli,10571.6,UFTP,Rural Villages,98668,0,0,Indirect
Chennamukkapalle (CT),10562.5,UFTP,Rural Villages,98583,0,0,Indirect
P.Kotakonda,10558.6,UFTP,Rural Villages,98547,0,0,Indirect
Venigandla,10557.3,UFTP,Rural Villages,98535,0,0,Indirect
Tavalam,10552.1,UFTP,Rural Villages,98486,0,0,Indirect
Jinnuru,10546.9,UFTP,Rural Villages,98438,0,0,Indirect
Borivanka,10544.3,UFTP,Rural Villages,98413,0,0,Indirect
Bhogapuram,10540.4,UFTP,Rural Villages,98377,0,0,Indirect
Penugolanu,10532.6,UFTP,Rural Villages,98304,0,0,Indirect
Kovurpalle,10532.6,UFTP,Rural Villages,98304,0,0,Indirect
Chinakakani,10524.8,UFTP,Rural Villages,98231,0,0,Indirect
Voolapalle,10517,UFTP,Rural Villages,98159,0,0,Indirect
Boddikura Padu,10506.6,UFTP,Rural Villages,98062,0,0,Indirect
Chowdepalle,10504,UFTP,Rural Villages,98037,0,0,Indirect
Ganapavaram,10497.5,UFTP,Rural Villages,97977,0,0,Indirect
Muddada,10485.8,UFTP,Rural Villages,97867,0,0,Indirect
Malkapuram,10480.6,UFTP,Rural Villages,97819,0,0,Indirect
Gurajanapalle,10478,UFTP,Rural Villages,97795,0,0,Indirect
Halaharvi,10471.5,UFTP,Rural Villages,97734,0,0,Indirect
Kotauratla,10468.9,UFTP,Rural Villages,97710,0,0,Indirect
Shermohammedpet,10467.6,UFTP,Rural Villages,97698,0,0,Indirect
Midthur,10458.5,UFTP,Rural Villages,97613,0,0,Indirect
Sodam,10457.2,UFTP,Rural Villages,97601,0,0,Indirect
Ethamukkala,10457.2,UFTP,Rural Villages,97601,0,0,Indirect
Dornipadu,10452,UFTP,Rural Villages,97552,0,0,Indirect
Halukuru,10446.8,UFTP,Rural Villages,97503,0,0,Indirect
Konkuduru,10445.5,UFTP,Rural Villages,97491,0,0,Indirect
Muchumarri,10424.7,UFTP,Rural Villages,97297,0,0,Indirect
Kanaganapalle,10413,UFTP,Rural Villages,97188,0,0,Indirect
Venkatagiri,10409.1,UFTP,Rural Villages,97152,1140492.76,1,Indirect
Rampa Yerrampalem,10406.5,UFTP,Rural Villages,97127,0,0,Indirect
Murari,10392.2,UFTP,Rural Villages,96994,0,0,Indirect
Pendyala,10392.2,UFTP,Rural Villages,96994,0,0,Indirect
Gandrajupalle,10388.3,UFTP,Rural Villages,96957,0,0,Indirect
Lakkavaram,10381.8,UFTP,Rural Villages,96897,0,0,Indirect
Vedireswaram,10381.8,UFTP,Rural Villages,96897,0,0,Indirect
Chowdavaram,10374,UFTP,Rural Villages,96824,0,0,Indirect
Amidala,10372.7,UFTP,Rural Villages,96812,0,0,Indirect
Gokanakonda,10361,UFTP,Rural Villages,96703,0,0,Indirect
Palagara,10354.5,UFTP,Rural Villages,96642,0,0,Indirect
Amudalapalli,10349.3,UFTP,Rural Villages,96593,0,0,Indirect
Dronadula,10346.7,UFTP,Rural Villages,96569,0,0,Indirect
Thimmapuram,10342.8,UFTP,Rural Villages,96533,0,0,Indirect
Ayinamukkala,10325.9,UFTP,Rural Villages,96375,0,0,Indirect
Malikipuram,10324.6,UFTP,Rural Villages,96363,0,0,Indirect
Kandlakunta,10324.6,UFTP,Rural Villages,96363,0,0,Indirect
Velvadam,10323.3,UFTP,Rural Villages,96351,0,0,Indirect
Kodavatipudi,10316.8,UFTP,Rural Villages,96290,0,0,Indirect
Potladurthi,10316.8,UFTP,Rural Villages,96290,0,0,Indirect
Gadivemula,10311.6,UFTP,Rural Villages,96242,0,0,Indirect
Madivada,10309,UFTP,Rural Villages,96217,0,0,Indirect
Kasumuru,10306.4,UFTP,Rural Villages,96193,0,0,Indirect
Madugula,10305.1,UFTP,Rural Villages,96181,0,0,Indirect
Brahmanakotkur,10305.1,UFTP,Rural Villages,96181,0,0,Indirect
Pavara,10303.8,UFTP,Rural Villages,96169,0,0,Indirect
Vempa,10303.8,UFTP,Rural Villages,96169,0,0,Indirect
Pedaparimi,10296,UFTP,Rural Villages,96096,0,0,Indirect
Uppalapadu,10296,UFTP,Rural Villages,96096,0,0,Indirect
Mallavolu,10294.7,UFTP,Rural Villages,96084,0,0,Indirect
Gundlakonda,10292.1,UFTP,Rural Villages,96060,0,0,Indirect
Bethapudi,10289.5,UFTP,Rural Villages,96035,0,0,Indirect
North Valluru,10286.9,UFTP,Rural Villages,96011,0,0,Indirect
Nandivelugu,10285.6,UFTP,Rural Villages,95999,0,0,Indirect
Vanavolu,10273.9,UFTP,Rural Villages,95890,0,0,Indirect
Kongavanipalem,10273.9,UFTP,Rural Villages,95890,0,0,Indirect
Inamanamellur,10272.6,UFTP,Rural Villages,95878,0,0,Indirect
Bantumilli,10266.1,UFTP,Rural Villages,95817,0,0,Indirect
Annavaram,10263.5,UFTP,Rural Villages,95793,0,0,Indirect
Isukapatlapangidi,10247.9,UFTP,Rural Villages,95647,0,0,Indirect
Kalla,10245.3,UFTP,Rural Villages,95623,0,1,Indirect
Pamidi Padu,10241.4,UFTP,Rural Villages,95586,0,0,Indirect
Epuru,10238.8,UFTP,Rural Villages,95562,0,0,Indirect
Tuggali,10236.2,UFTP,Rural Villages,95538,0,0,Indirect
Gonugunta,10227.1,UFTP,Rural Villages,95453,0,0,Indirect
Matli,10219.3,UFTP,Rural Villages,95380,0,0,Indirect
Malayanur,10198.5,UFTP,Rural Villages,95186,0,0,Indirect
Gugudu,10197.2,UFTP,Rural Villages,95174,0,0,Indirect
Amadagur,10193.3,UFTP,Rural Villages,95137,0,0,Indirect
Murakambattu (CT),10184.2,UFTP,Rural Villages,95053,0,0,Indirect
Moragudi (CT),10184.2,UFTP,Rural Villages,95053,0,0,Indirect
Chennampalle,10173.8,UFTP,Rural Villages,94955,0,0,Indirect
Podagatlapalle,10162.1,UFTP,Rural Villages,94846,0,0,Indirect
Chapala Madugu,10159.5,UFTP,Rural Villages,94822,0,0,Indirect
Yenuguvanilanka,10154.3,UFTP,Rural Villages,94773,0,0,Indirect
Cherlopalle,10154.3,UFTP,Rural Villages,94773,0,0,Indirect
Kuchipudi,10147.8,UFTP,Rural Villages,94713,0,0,Indirect
Pulipadu,10147.8,UFTP,Rural Villages,94713,0,0,Indirect
Guduru,10145.2,UFTP,Rural Villages,94689,0,0,Indirect
Kalugodu,10137.4,UFTP,Rural Villages,94616,0,0,Indirect
Vegayammapeta,10129.6,UFTP,Rural Villages,94543,0,0,Indirect
Veeravalli,10128.3,UFTP,Rural Villages,94531,0,0,Indirect
Peravaram,10110.1,UFTP,Rural Villages,94361,0,0,Indirect
I. Polavaram,10104.9,UFTP,Rural Villages,94312,0,0,Indirect
Lankalakoderu,10104.9,UFTP,Rural Villages,94312,0,0,Indirect
Unagatla,10098.4,UFTP,Rural Villages,94252,0,0,Indirect
Vallabhapuram,10095.8,UFTP,Rural Villages,94227,0,0,Indirect
Tummapudi,10073.7,UFTP,Rural Villages,94021,0,0,Indirect
Gollapalle,10068.5,UFTP,Rural Villages,93973,0,0,Indirect
Konda Gunturu,10067.2,UFTP,Rural Villages,93961,0,0,Indirect
Pedabhogila,10065.9,UFTP,Rural Villages,93948,0,0,Indirect
Peddachintakunta,10064.6,UFTP,Rural Villages,93936,0,0,Indirect
Gogannamattam,10063.3,UFTP,Rural Villages,93924,0,0,Indirect
Lingasamudram,10043.8,UFTP,Rural Villages,93742,0,0,Indirect
Yellanur,10038.6,UFTP,Rural Villages,93694,0,0,Indirect
Kantabamsuguda (CT),10037.3,UFTP,Rural Villages,93681,0,0,Indirect
Malleswaram,10037.3,UFTP,Rural Villages,93681,0,0,Indirect
Veparala (CT),10034.7,UFTP,Rural Villages,93657,0,0,Indirect
D. Polavaram,10029.5,UFTP,Rural Villages,93609,0,0,Indirect
Burugupudi,10024.3,UFTP,Rural Villages,93560,0,0,Indirect
Kanavaram,10020.4,UFTP,Rural Villages,93524,0,0,Indirect
Palakoderu,10017.8,UFTP,Rural Villages,93499,0,0,Indirect
E.Thandrapadu,10013.9,UFTP,Rural Villages,93463,0,0,Indirect
