Location,Population,PopulationType,Market,PotentialRevenue,PresentRevenue,Vehicles,Distribution
Cumbum (CT),22677.2,UFTP,Rural Villages,211654,0,0,Indirect
Puttaparthi,22556.3,UFTP,Rural Villages,210525,145696.11,1,Indirect
T Sundupalle,22447.1,UFTP,Rural Villages,209506,0,0,Indirect
Balighattam,22427.6,UFTP,Rural Villages,209324,0,0,Indirect
Addanki (South) (U),22334,UFTP,Rural Villages,208451,0,0,Indirect
Kothapalle,22314.5,UFTP,Rural Villages,208269,0,0,Indirect
Chebrolu,22293.7,UFTP,Rural Villages,208075,0,0,Indirect
Cheepurupalle (CT),22196.2,UFTP,Rural Villages,207165,0,0,Indirect
Devarapalle,22119.5,UFTP,Rural Villages,206449,0,1,Indirect
Koduru,22046.7,UFTP,Rural Villages,205769,0,0,Indirect
Kona Forest,22035,UFTP,Rural Villages,205660,0,0,Indirect
Kothakota,21929.7,UFTP,Rural Villages,204677,0,0,Indirect
Kankipadu (CT),21850.4,UFTP,Rural Villages,203937,0,0,Indirect
Vemagiri,21846.5,UFTP,Rural Villages,203901,0,1,Indirect
Holagunda,21816.6,UFTP,Rural Villages,203622,0,0,Indirect
Kothacheruvu,21773.7,UFTP,Rural Villages,203221,0,0,Indirect
Panyam,21769.8,UFTP,Rural Villages,203185,0,0,Indirect
Relangi,21765.9,UFTP,Rural Villages,203148,0,0,Indirect
Pakala,21628.1,UFTP,Rural Villages,201862,0,0,Indirect
Alur,21567,UFTP,Rural Villages,201292,0,0,Indirect
Karempudi,21505.9,UFTP,Rural Villages,200722,0,1,Indirect
G. Mamidada,21494.2,UFTP,Rural Villages,200613,0,0,Indirect
Penuganchiprolu,21489,UFTP,Rural Villages,200564,0,0,Indirect
Vatluru,21479.9,UFTP,Rural Villages,200479,0,0,Indirect
Muthukur,21427.9,UFTP,Rural Villages,199994,0,0,Indirect
Kothavalasa (CT),21409.7,UFTP,Rural Villages,199824,0,0,Indirect
Veeraghattam,21400.6,UFTP,Rural Villages,199739,0,0,Indirect
Banumukkala (CT),21388.9,UFTP,Rural Villages,199630,0,0,Indirect
Prathipadu,21386.3,UFTP,Rural Villages,199605,0,0,Indirect
Unguturu,21348.6,UFTP,Rural Villages,199254,0,0,Indirect
Biccavolu,21346,UFTP,Rural Villages,199229,0,0,Indirect
Narayanapuram (CT),21269.3,UFTP,Rural Villages,198513,0,0,Indirect
Chebrolu,21252.4,UFTP,Rural Villages,198356,0,0,Indirect
Kesanapalle,21221.2,UFTP,Rural Villages,198065,0,0,Indirect
Antarvedipalem,21171.8,UFTP,Rural Villages,197603,0,0,Indirect
Peda Palakaluru (Part),20913.1,UFTP,Rural Villages,195189,0,0,Indirect
Prasadampadu (CT),20841.6,UFTP,Rural Villages,194522,0,0,Indirect
Padugupadu,20809.1,UFTP,Rural Villages,194218,0,0,Indirect
Khandavalli,20757.1,UFTP,Rural Villages,193733,0,0,Indirect
Polavaram,20722,UFTP,Rural Villages,193405,0,0,Indirect
Papampeta (CT),20706.4,UFTP,Rural Villages,193260,0,0,Indirect
Bogole,20530.9,UFTP,Rural Villages,191622,0,0,Indirect
Katrenikona,20449,UFTP,Rural Villages,190857,0,0,Indirect
Bhimadole,20434.7,UFTP,Rural Villages,190724,80001,1,Indirect
Razole,20328.1,UFTP,Rural Villages,189729,0,0,Direct
Duvva,20325.5,UFTP,Rural Villages,189705,0,0,Indirect
A.V.Nagaram,20281.3,UFTP,Rural Villages,189292,0,0,Indirect
Mulakaledu,20209.8,UFTP,Rural Villages,188625,0,0,Indirect
Nallajerla,20118.8,UFTP,Rural Villages,187775,0,0,Indirect
Amaravathi,20033,UFTP,Rural Villages,186975,904080.11,0,Indirect
Parchur,19995.3,UFTP,Rural Villages,186623,0,0,Indirect
Undrajavaram,19873.1,UFTP,Rural Villages,185482,0,0,Indirect
Lakshmaneswaram,19871.8,UFTP,Rural Villages,185470,0,0,Indirect
Agiripalle,19857.5,UFTP,Rural Villages,185337,0,0,Indirect
Doddipatla,19821.1,UFTP,Rural Villages,184997,0,0,Indirect
Katevaram,19747,UFTP,Rural Villages,184305,0,0,Indirect
Komaragiripatnam,19730.1,UFTP,Rural Villages,184148,0,0,Indirect
